GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0120035	regulation of plasma membrane bounded ce...	54	38	30.87	0.0272	1	BP
GO:0031344	regulation of cell projection organizati...	54	38	30.87	0.0272	1	BP
GO:0045944	positive regulation of transcription by ...	75	51	42.87	0.0284	1	BP
GO:0007411	axon guidance	40	29	22.87	0.0298	1	BP
GO:0097485	neuron projection guidance	40	29	22.87	0.0298	1	BP
GO:0045667	regulation of osteoblast differentiation	10	9	5.72	0.0307	1	BP
GO:0007224	smoothened signaling pathway	10	9	5.72	0.0307	1	BP
GO:0002121	inter-male aggressive behavior	10	9	5.72	0.0307	1	BP
GO:0030036	actin cytoskeleton organization	37	27	21.15	0.0318	1	BP
GO:0045935	positive regulation of nucleobase-contai...	105	69	60.02	0.0336	1	BP
GO:0010595	positive regulation of endothelial cell ...	6	6	3.43	0.0343	1	BP
GO:0043050	pharyngeal pumping	6	6	3.43	0.0343	1	BP
GO:0021983	pituitary gland development	6	6	3.43	0.0343	1	BP
GO:0060259	regulation of feeding behavior	6	6	3.43	0.0343	1	BP
GO:0015748	organophosphate ester transport	6	6	3.43	0.0343	1	BP
GO:0051893	regulation of focal adhesion assembly	6	6	3.43	0.0343	1	BP
GO:0043534	blood vessel endothelial cell migration	6	6	3.43	0.0343	1	BP
GO:0009268	response to pH	6	6	3.43	0.0343	1	BP
GO:0060997	dendritic spine morphogenesis	6	6	3.43	0.0343	1	BP
GO:0150116	regulation of cell-substrate junction or...	6	6	3.43	0.0343	1	BP
GO:0090109	regulation of cell-substrate junction as...	6	6	3.43	0.0343	1	BP
GO:0048013	ephrin receptor signaling pathway	6	6	3.43	0.0343	1	BP
GO:0048041	focal adhesion assembly	6	6	3.43	0.0343	1	BP
GO:0042693	muscle cell fate commitment	6	6	3.43	0.0343	1	BP
GO:0042330	taxis	53	37	30.3	0.0349	1	BP
GO:0030705	cytoskeleton-dependent intracellular tra...	13	11	7.43	0.0366	1	BP
GO:0051056	regulation of small GTPase mediated sign...	13	11	7.43	0.0366	1	BP
GO:0051588	regulation of neurotransmitter transport	13	11	7.43	0.0366	1	BP
GO:0034332	adherens junction organization	13	11	7.43	0.0366	1	BP
GO:0046928	regulation of neurotransmitter secretion	13	11	7.43	0.0366	1	BP
GO:0000904	cell morphogenesis involved in different...	79	53	45.16	0.0368	1	BP
GO:0019098	reproductive behavior	28	21	16.01	0.0373	1	BP
GO:0061564	axon development	58	40	33.16	0.0377	1	BP
GO:0009792	embryo development ending in birth or eg...	71	48	40.59	0.0387	1	BP
GO:0022402	cell cycle process	89	59	50.88	0.0389	1	BP
GO:0051128	regulation of cellular component organiz...	154	98	88.03	0.0392	1	BP
GO:0048663	neuron fate commitment	22	17	12.58	0.0398	1	BP
GO:0007631	feeding behavior	19	15	10.86	0.0402	1	BP
GO:0009790	embryo development	101	66	57.74	0.0444	1	BP
GO:0003008	system process	126	81	72.03	0.0447	1	BP
GO:0022604	regulation of cell morphogenesis	30	22	17.15	0.048	1	BP
GO:0006259	DNA metabolic process	49	34	28.01	0.0484	1	BP
GO:0006935	chemotaxis	49	34	28.01	0.0484	1	BP
GO:0048609	multicellular organismal reproductive pr...	113	73	64.6	0.0491	1	BP
GO:1904888	cranial skeletal system development	9	8	5.14	0.0494	1	BP
GO:0007214	gamma-aminobutyric acid signaling pathwa...	9	8	5.14	0.0494	1	BP
